<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,D,20210103,000000,1.3666000,1.3684000,1.3641000,1.3680000,62202
GBPUSD,D,20210104,000000,1.3680000,1.3704000,1.3539000,1.3570000,2282703
GBPUSD,D,20210105,000000,1.3571000,1.3642000,1.3552000,1.3626000,2227761
GBPUSD,D,20210106,000000,1.3627000,1.3672000,1.3537000,1.3623000,2637276
GBPUSD,D,20210107,000000,1.3623000,1.3633000,1.3531000,1.3568000,2236287
GBPUSD,D,20210108,000000,1.3568000,1.3636000,1.3537000,1.3563000,2418402
GBPUSD,D,20210110,000000,1.3566000,1.3572000,1.3508000,1.3518000,64163
GBPUSD,D,20210111,000000,1.3518000,1.3535000,1.3450000,1.3523000,1976995
GBPUSD,D,20210112,000000,1.3523000,1.3670000,1.3503000,1.3667000,1857001
GBPUSD,D,20210113,000000,1.3667000,1.3701000,1.3610000,1.3647000,1801838
GBPUSD,D,20210114,000000,1.3647000,1.3711000,1.3615000,1.3682000,1796413
GBPUSD,D,20210115,000000,1.3682000,1.3698000,1.3570000,1.3586000,1797347
GBPUSD,D,20210117,000000,1.3581000,1.3602000,1.3567000,1.3569000,65254
GBPUSD,D,20210118,000000,1.3570000,1.3590000,1.3518000,1.3582000,1538634
GBPUSD,D,20210119,000000,1.3583000,1.3648000,1.3579000,1.3643000,1687235
GBPUSD,D,20210120,000000,1.3644000,1.3719000,1.3622000,1.3666000,1783007
