<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170527,000000,0.7446200,0.7449000,0.7443000,0.7444600,16
AUDUSD,D,20170528,000000,0.7430000,0.7439100,0.7430000,0.7430000,56
AUDUSD,D,20170529,000000,0.7444700,0.7450300,0.7423000,0.7437400,765007
AUDUSD,D,20170530,000000,0.7437400,0.7469400,0.7412000,0.7464900,1160994
AUDUSD,D,20170531,000000,0.7463700,0.7475900,0.7420000,0.7429200,1201913
AUDUSD,D,20170601,000000,0.7430200,0.7454700,0.7368000,0.7372500,1281589
AUDUSD,D,20170602,000000,0.7371600,0.7446700,0.7369000,0.7439100,1174244
AUDUSD,D,20170603,000000,0.7442000,0.7442000,0.7434000,0.7434000,8
AUDUSD,D,20170604,000000,0.7426000,0.7432000,0.7412000,0.7421800,537
AUDUSD,D,20170605,000000,0.7422100,0.7498500,0.7418000,0.7484500,1119150
AUDUSD,D,20170606,000000,0.7484600,0.7522200,0.7453000,0.7505500,1247236
AUDUSD,D,20170607,000000,0.7505000,0.7566800,0.7495000,0.7550200,1175551
AUDUSD,D,20170608,000000,0.7546600,0.7554400,0.7522000,0.7546400,1184262
AUDUSD,D,20170609,000000,0.7545500,0.7546700,0.7516000,0.7527200,1273704
AUDUSD,D,20170610,000000,0.7526000,0.7527000,0.7523500,0.7523500,7
AUDUSD,D,20170611,000000,0.7526000,0.7531000,0.7521300,0.7525600,308
AUDUSD,D,20170612,000000,0.7529700,0.7547100,0.7518000,0.7540300,953911
AUDUSD,D,20170613,000000,0.7540800,0.7564800,0.7522000,0.7536700,1050897
AUDUSD,D,20170614,000000,0.7534500,0.7635500,0.7530000,0.7586200,1479957
AUDUSD,D,20170615,000000,0.7586200,0.7631800,0.7565000,0.7577700,1329700
AUDUSD,D,20170616,000000,0.7576900,0.7629900,0.7573000,0.7615300,1091993
AUDUSD,D,20170617,000000,0.7615800,0.7616000,0.7615800,0.7616000,2
AUDUSD,D,20170618,000000,0.7613000,0.7620000,0.7613000,0.7614900,197
AUDUSD,D,20170619,000000,0.7617000,0.7629100,0.7583000,0.7596300,1013674
AUDUSD,D,20170620,000000,0.7596300,0.7623600,0.7568000,0.7580200,1000090
AUDUSD,D,20170621,000000,0.7580200,0.7586100,0.7540000,0.7549600,1005446
AUDUSD,D,20170622,000000,0.7549600,0.7574700,0.7532000,0.7540100,1024795
AUDUSD,D,20170623,000000,0.7539800,0.7582800,0.7535000,0.7563000,730539
AUDUSD,D,20170624,000000,0.7566000,0.7566100,0.7564000,0.7566100,4
AUDUSD,D,20170625,000000,0.7563000,0.7567000,0.7555000,0.7561800,379
AUDUSD,D,20170626,000000,0.7568200,0.7599500,0.7559000,0.7584900,957568
AUDUSD,D,20170627,000000,0.7584900,0.7624500,0.7574000,0.7581900,1069131
AUDUSD,D,20170628,000000,0.7582200,0.7645000,0.7574000,0.7638900,1183959
AUDUSD,D,20170629,000000,0.7635100,0.7686400,0.7632000,0.7682900,1158916
AUDUSD,D,20170630,000000,0.7682000,0.7712200,0.7664000,0.7686000,1104074
AUDUSD,D,20170701,000000,0.7682000,0.7687000,0.7681700,0.7685500,11
AUDUSD,D,20170702,000000,0.7678000,0.7690100,0.7672000,0.7680500,404
AUDUSD,D,20170703,000000,0.7685500,0.7695200,0.7641000,0.7658100,1008309
